DAO Name,DAO Token Supply,Offchain?,Proposal ID,Proposal Date Created,Proposal Date Start,Proposal Date End,Proposal Author,Proposal Choices,Voter Address,Voter Choice,Voter Power,Voter Reason,Transaction Hash
ShapeShift (FOX),1000001337.0,1,0x6869ab20eee443fc1a4935cb6b8c62f6257db2cef3e291b7cb317aebbc5df551,1653664315,1653664243,1654268400,0x33F4D8E712772133FCdD7402D74B9EbD762b423e,"['For', 'Against']",0xdC212554Bf38c0e8E8b2dFf80DdBa739dFdff5Da,1,900770.3545481046,,
ShapeShift (FOX),1000001337.0,1,0x6869ab20eee443fc1a4935cb6b8c62f6257db2cef3e291b7cb317aebbc5df551,1653664315,1653664243,1654268400,0x33F4D8E712772133FCdD7402D74B9EbD762b423e,"['For', 'Against']",0xff75E131c711e4310C045317779d39B3B4f718C4,1,161496.0555908271,,
ShapeShift (FOX),1000001337.0,1,0x6869ab20eee443fc1a4935cb6b8c62f6257db2cef3e291b7cb317aebbc5df551,1653664315,1653664243,1654268400,0x33F4D8E712772133FCdD7402D74B9EbD762b423e,"['For', 'Against']",0xFAc9dD5194098461B627554347f83D5431Fb30e2,1,10000,,
ShapeShift (FOX),1000001337.0,1,0x6869ab20eee443fc1a4935cb6b8c62f6257db2cef3e291b7cb317aebbc5df551,1653664315,1653664243,1654268400,0x33F4D8E712772133FCdD7402D74B9EbD762b423e,"['For', 'Against']",0x2F3560CAe869876F4F1C1993BfA429F30B7f8aB3,1,200,,
ShapeShift (FOX),1000001337.0,1,0x6869ab20eee443fc1a4935cb6b8c62f6257db2cef3e291b7cb317aebbc5df551,1653664315,1653664243,1654268400,0x33F4D8E712772133FCdD7402D74B9EbD762b423e,"['For', 'Against']",0xB512f6eda8D66092C5ab1d6c5EC718970E064683,1,20,,
ShapeShift (FOX),1000001337.0,1,0x6869ab20eee443fc1a4935cb6b8c62f6257db2cef3e291b7cb317aebbc5df551,1653664315,1653664243,1654268400,0x33F4D8E712772133FCdD7402D74B9EbD762b423e,"['For', 'Against']",0x52E1Ee958B9DcCb79C1214932A983Bb747933183,1,451.99168447145087,,
ShapeShift (FOX),1000001337.0,1,0x6869ab20eee443fc1a4935cb6b8c62f6257db2cef3e291b7cb317aebbc5df551,1653664315,1653664243,1654268400,0x33F4D8E712772133FCdD7402D74B9EbD762b423e,"['For', 'Against']",0x568417C9E8EF3a53485b97a3a12a7f88b33b6Ef4,1,250,,
ShapeShift (FOX),1000001337.0,1,0x6869ab20eee443fc1a4935cb6b8c62f6257db2cef3e291b7cb317aebbc5df551,1653664315,1653664243,1654268400,0x33F4D8E712772133FCdD7402D74B9EbD762b423e,"['For', 'Against']",0xb5CAc42f7A885DC5f1dCdb943e0D795Db31DfDd9,1,350,,
ShapeShift (FOX),1000001337.0,1,0x6869ab20eee443fc1a4935cb6b8c62f6257db2cef3e291b7cb317aebbc5df551,1653664315,1653664243,1654268400,0x33F4D8E712772133FCdD7402D74B9EbD762b423e,"['For', 'Against']",0xcC649894480795176571Ab35328bff004A81C74e,1,200,,
ShapeShift (FOX),1000001337.0,1,0x6869ab20eee443fc1a4935cb6b8c62f6257db2cef3e291b7cb317aebbc5df551,1653664315,1653664243,1654268400,0x33F4D8E712772133FCdD7402D74B9EbD762b423e,"['For', 'Against']",0xc821DA8f59947715030E0A0C301719B77FBe6bE9,1,50,,
ShapeShift (FOX),1000001337.0,1,0x6869ab20eee443fc1a4935cb6b8c62f6257db2cef3e291b7cb317aebbc5df551,1653664315,1653664243,1654268400,0x33F4D8E712772133FCdD7402D74B9EbD762b423e,"['For', 'Against']",0xAdA29Ac69B950a7E2AA08D5D76B8d1FC904F5849,2,200,,
ShapeShift (FOX),1000001337.0,1,0x6869ab20eee443fc1a4935cb6b8c62f6257db2cef3e291b7cb317aebbc5df551,1653664315,1653664243,1654268400,0x33F4D8E712772133FCdD7402D74B9EbD762b423e,"['For', 'Against']",0xdc6B04B4e40fDe7c0e9ee1171F913FebDbB4b88B,2,200,,
ShapeShift (FOX),1000001337.0,1,0x6869ab20eee443fc1a4935cb6b8c62f6257db2cef3e291b7cb317aebbc5df551,1653664315,1653664243,1654268400,0x33F4D8E712772133FCdD7402D74B9EbD762b423e,"['For', 'Against']",0x9B2d6e2d5Ef25C0454AbaA392Fcd9796E05567C9,2,200,,
ShapeShift (FOX),1000001337.0,1,0x6869ab20eee443fc1a4935cb6b8c62f6257db2cef3e291b7cb317aebbc5df551,1653664315,1653664243,1654268400,0x33F4D8E712772133FCdD7402D74B9EbD762b423e,"['For', 'Against']",0x0794e8235FBDfAf2061a6721AdE61126d8493B35,1,200,,
