DAO Name,DAO Token Supply,Offchain?,Proposal ID,Proposal Date Created,Proposal Date Start,Proposal Date End,Proposal Author,Proposal Choices,Voter Address,Voter Choice,Voter Power,Voter Reason,Transaction Hash
dYdX,1000000000.0,1,0xf18fef845ef6820243d77b518cdf7c03820c1199e88c375548062d06a8bf0e0c,1651475368,1651561768,1651907368,0xB933AEe47C438f22DE0747D57fc239FE37878Dd1,"['Yes', 'No']",0xA42eab5B63EbfaE8fEfE7cC42a6d2E2593F48B3b,1,310.77505698159365,,
dYdX,1000000000.0,1,0xf18fef845ef6820243d77b518cdf7c03820c1199e88c375548062d06a8bf0e0c,1651475368,1651561768,1651907368,0xB933AEe47C438f22DE0747D57fc239FE37878Dd1,"['Yes', 'No']",0xdC1F98682F4F8a5c6d54F345F448437b83f5E432,1,2500000,,
dYdX,1000000000.0,1,0xf18fef845ef6820243d77b518cdf7c03820c1199e88c375548062d06a8bf0e0c,1651475368,1651561768,1651907368,0xB933AEe47C438f22DE0747D57fc239FE37878Dd1,"['Yes', 'No']",0x45f7b6b3F82484a31808e62FbE0a3785d0886Da7,1,0.005691497006904964,,
dYdX,1000000000.0,1,0xf18fef845ef6820243d77b518cdf7c03820c1199e88c375548062d06a8bf0e0c,1651475368,1651561768,1651907368,0xB933AEe47C438f22DE0747D57fc239FE37878Dd1,"['Yes', 'No']",0xd5FAE9a76DE0bF1063eEE5D4AE05Be77cB08E68A,1,1,,
dYdX,1000000000.0,1,0xf18fef845ef6820243d77b518cdf7c03820c1199e88c375548062d06a8bf0e0c,1651475368,1651561768,1651907368,0xB933AEe47C438f22DE0747D57fc239FE37878Dd1,"['Yes', 'No']",0x7371c7d15cCba70719FD01d62956805870E25354,1,14.083004899665774,,
dYdX,1000000000.0,1,0xf18fef845ef6820243d77b518cdf7c03820c1199e88c375548062d06a8bf0e0c,1651475368,1651561768,1651907368,0xB933AEe47C438f22DE0747D57fc239FE37878Dd1,"['Yes', 'No']",0x9B79DFdF8a5844C69Feb2A8BB54200D6c38679F9,1,503.0976382827507,,
dYdX,1000000000.0,1,0xf18fef845ef6820243d77b518cdf7c03820c1199e88c375548062d06a8bf0e0c,1651475368,1651561768,1651907368,0xB933AEe47C438f22DE0747D57fc239FE37878Dd1,"['Yes', 'No']",0x63693A8544523d23aE490d88e88baA404C867574,1,13.452550481381055,,
dYdX,1000000000.0,1,0xf18fef845ef6820243d77b518cdf7c03820c1199e88c375548062d06a8bf0e0c,1651475368,1651561768,1651907368,0xB933AEe47C438f22DE0747D57fc239FE37878Dd1,"['Yes', 'No']",0x69528C13dCb9d6D5bCb68FD77F8d5498F841fFe4,1,102.4546,,
dYdX,1000000000.0,1,0xf18fef845ef6820243d77b518cdf7c03820c1199e88c375548062d06a8bf0e0c,1651475368,1651561768,1651907368,0xB933AEe47C438f22DE0747D57fc239FE37878Dd1,"['Yes', 'No']",0x8ccfbc13159C5916dbbf5815d899411aeB1876Ef,1,1163.51,,
dYdX,1000000000.0,1,0xf18fef845ef6820243d77b518cdf7c03820c1199e88c375548062d06a8bf0e0c,1651475368,1651561768,1651907368,0xB933AEe47C438f22DE0747D57fc239FE37878Dd1,"['Yes', 'No']",0x09a572f21b4e8D51C3Edb6BD509A7aBeD610Ac85,1,1,,
